gene_id	gene_name	Ascl1_ASV_REP1	Ascl1_ASV_REP2	Ascl1_ASV_REP3	Ascl1_nonInduced_REP1	Ascl1_nonInduced_REP2	Ascl1_nonInduced_REP3	Empty_ASV_REP1	Empty_ASV_REP2	Empty_ASV_REP3	Empty_nonInduced_REP1	Empty_nonInduced_REP2	Empty_nonInduced_REP3	NeuroD1_ASV_REP1	NeuroD1_ASV_REP2	NeuroD1_ASV_REP3	NeuroD1_nonInduced_REP1	NeuroD1_nonInduced_REP2	NeuroD1_nonInduced_REP3
1110001J03Rik	1110001J03Rik	54.982506	63.452445	60.223011	77.016518	67.896632	72.281188	101.411786	121.040879	95.074154	63.800717	97.549257	85.883145	97.837378	107.819265	124.351506	120.082047	95.892849	78.810442
1110002L01Rik	1110002L01Rik	6.14001	6.848774	6.097401	9.010359	9.5184	10.822907	10.627022	9.57866	10.021328	13.16325	10.320466	9.898861	8.656569	8.549746	8.066314	12.026114	9.792573	10.669243
1110004E09Rik	1110004E09Rik	30.937394	32.828009	27.58009	33.406996	36.13087	34.942726	37.33637	32.841225	35.664813	35.163545	37.007741	37.247674	34.195084	36.781265	34.880717	33.674617	34.246517	40.665171
1110004F10Rik	1110004F10Rik	153.397543	174.381617	168.714188	168.027546	156.936705	170.692232	196.491724	190.471222	192.969874	169.266858	170.302467	164.963163	184.238436	198.354432	186.632659	200.910378	175.949525	176.7258
1110006O24Rik	1110006O24Rik	3.295688	2.288286	3.254748	2.041105	2.562243	1.70421	2.274717	1.850181	2.403861	3.353962	2.556168	2.276215	1.623581	1.965723	2.361272	1.52823	1.90288	2.711086
1110007C09Rik	1110007C09Rik	32.916316	27.116014	30.874245	13.566733	15.422596	11.287056	22.724259	19.70028	23.637818	12.323215	11.992996	10.902879	15.254826	15.941723	13.568133	10.852086	13.985556	12.555746
1110008F13Rik	1110008F13Rik	112.023399	114.578359	113.759396	100.598058	98.410782	102.504105	104.728104	96.788593	105.297615	106.018075	95.67932	99.899657	103.498382	102.132443	96.515755	105.235319	99.922426	114.140507
1110008L16Rik	1110008L16Rik	17.514864	16.207957	15.915823	20.797264	22.699678	23.992408	17.176264	16.083692	18.749985	23.229198	22.92039	22.812067	18.038741	17.172376	16.74917	19.746294	22.488545	19.868026
1110008P14Rik	1110008P14Rik	45.059223	44.814747	41.357255	39.531283	35.327889	36.511399	33.674513	30.61209	34.571886	31.804667	36.948246	37.305234	40.420321	41.867355	39.341531	33.328174	32.272531	38.332594
1110012L19Rik	1110012L19Rik	21.603207	18.225274	18.499257	15.664857	15.590018	15.861609	18.571487	18.347222	17.101567	19.193747	16.612716	15.815384	19.190806	20.44575	18.2155	19.353789	16.872744	20.121076
1110015O18Rik	1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016197	0	0	0	0
1110017D15Rik	1110017D15Rik	0.109602	0.243977	0.132004	0.241435	0.341495	0.311716	0.788338	0.207633	0.527627	0.103685	0.527006	0.438254	0.099576	0.151314	0.320019	0.090658	0.230419	0
1110019D14Rik	1110019D14Rik	1.388648	1.744504	1.525243	1.989053	1.905428	2.4168	2.020819	2.147108	1.679556	3.078326	2.046163	1.972425	1.610762	1.848266	2.245273	2.794407	1.891888	3.05934
1110020A21Rik	1110020A21Rik	0.6339	0.842454	1.172496	0.53364	0.366844	0.365995	0.377101	0.673753	0.688336	0.56812	0.352904	0.377349	0.604841	0.379081	0.700728	0.417561	0.456181	0.291116
1110025L11Rik	1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	1110028F11Rik	0	0.009854	0.011077	0	0.022526	0	0.00842	0	0	0	0.038525	0.016852	0	0	0.009059	0	0	0
1110028F18Rik	1110028F18Rik	0.094835	0.066518	0.049849	0.063202	0.025345	0.022476	0.037895	0.107566	0	0.067286	0.021672	0.075841	0.018802	0	0.081536	0	0.042022	0.020113
1110032A03Rik	1110032A03Rik	2.735194	2.77906	3.106238	1.500301	1.137079	1.344531	2.482797	2.068256	2.08617	2.811147	1.605113	1.471756	1.78079	1.844745	1.62582	1.382589	1.42147	1.919283
1110032F04Rik	1110032F04Rik	0.477768	0.363688	0.397147	0.325813	0.380081	0.400268	0.559422	0.445288	0.410074	0.231243	0.355481	0.382079	0.326016	0.276716	0.391664	0.422758	0.2954	0.15081
1110034G24Rik	1110034G24Rik	4.152143	5.527548	4.476472	4.574334	5.163307	5.502818	6.061074	5.094006	5.456035	5.310798	6.758353	6.403896	5.779132	6.722604	6.921195	9.059235	7.284318	6.918916
1110036E04Rik	1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	1110037F02Rik	24.667984	21.699171	22.728746	18.819597	21.57694	20.388895	15.628202	14.641516	16.932178	15.298497	18.233688	18.69689	17.333335	15.413595	15.290251	15.660737	18.268336	11.231926
1110038B12Rik	1110038B12Rik	229.269504	269.661132	236.408457	295.397154	270.384038	312.220333	357.73702	328.600868	353.136026	261.039635	320.5779	315.118876	299.27685	309.441709	364.738575	299.292968	312.712252	281.886768
1110038F14Rik	1110038F14Rik	44.381523	46.942711	46.431628	39.901952	38.698063	39.479617	44.367343	40.118166	44.936758	39.221436	39.894913	39.108328	40.439738	39.80665	39.162665	36.862863	35.733825	44.772805
1110046J04Rik	1110046J04Rik	0.049082	0.41312	0.464395	0.043614	0	0.139592	0.078452	0.148456	0.07876	0	0.134599	0.078503	0	0.078863	0.295393	0.121794	0.130492	0.083275
1110051M20Rik	1110051M20Rik	6.6124	6.393891	7.093115	2.672012	3.358405	2.779786	4.196569	3.393706	3.672943	3.523984	3.145314	2.655988	4.330297	4.555125	4.308866	2.821347	3.142145	3.451969
1110058D11Rik	1110058D11Rik	0	0.058011	0	0.110238	0	0	0	0	0.049768	0	0	0	0	0	0	0.051307	0	0
1110059E24Rik	1110059E24Rik	16.929376	20.145021	19.182765	20.311534	18.543451	21.232696	27.480756	30.666878	26.743255	26.671616	26.87611	20.861199	25.161838	30.182889	33.131798	30.912273	24.927381	22.53892
1110059G10Rik	1110059G10Rik	2.294779	2.379389	2.718416	2.076078	2.177584	2.348911	2.983517	2.885763	2.581658	2.800139	2.249691	2.327213	2.907759	3.520195	3.352633	2.915966	2.136834	2.334646
1110065P20Rik	1110065P20Rik	24.960031	26.13062	23.707377	15.612031	14.262576	12.672709	24.635513	23.268882	25.619271	10.005313	16.019042	13.24398	19.781611	21.860028	21.011142	19.866654	15.713583	16.253421
1190002F15Rik	1190002F15Rik	4.580674	5.658	3.931503	4.55475	4.736896	3.68205	6.962372	7.810606	6.501043	7.865066	7.083299	6.607522	7.661316	6.634739	8.629609	8.02649	5.786196	7.4685
1190002N15Rik	1190002N15Rik	9.395706	7.603648	8.194616	6.174786	6.666101	6.50156	4.944516	4.630739	5.984812	4.001135	6.198707	6.406945	4.329813	4.010076	4.195337	4.863075	6.957462	2.959319
1190003K10Rik	1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	1190005I06Rik	6.166302	10.946229	16.680631	20.577345	13.908511	24.074278	11.510459	11.099349	11.34741	19.03337	20.256643	24.185678	8.785999	8.189756	11.608948	5.932654	12.46755	15.103299
1190007I07Rik	1190007I07Rik	21.342776	20.564715	22.605755	27.553947	29.699541	26.731707	36.805751	36.231556	39.391477	31.909497	32.168152	31.105811	26.92707	27.807218	30.764034	31.14346	31.709366	38.399579
1200014J11Rik	1200014J11Rik	20.524884	18.160881	17.620853	14.330151	15.021469	15.329099	13.371356	12.891345	14.957943	12.948611	13.985318	13.726407	13.485799	12.466925	11.130503	10.803981	13.611761	10.265937
1300002E11Rik	1300002E11Rik	4.880059	5.351558	5.42369	5.666879	5.361352	6.355442	6.729661	7.86618	7.773954	9.443332	5.331868	4.98354	8.538015	7.241185	7.519614	7.80352	6.499411	9.294352
1300017J02Rik	1300017J02Rik	0.191601	0.035838	0.201429	0.124855	0.218476	0.157423	0.224585	0.173858	0.225468	0.265844	0.315261	0.337099	0.263371	0.20524	0.25259	0.433187	0.283001	0.249227
1500004A13Rik	1500004A13Rik	2.854264	2.73426	2.359986	1.618076	1.81985	1.785207	1.368219	1.103375	1.687621	1.450473	1.791876	1.429367	1.386714	1.167164	1.86272	1.157343	1.630381	1.226152
1500009C09Rik	1500009C09Rik	0.120401	0.037534	0.042192	0.070613	0.148661	0.094169	0.240558	0.180268	0.175335	0.131558	0.127121	0.128382	0.031827	0.047881	0.256208	0.016598	0.088918	0.136185
1500009L16Rik	1500009L16Rik	33.319115	31.519341	33.184552	24.128979	23.901597	26.39198	75.46151	71.129503	73.823815	22.655259	25.247574	25.813175	27.987472	29.56379	27.209663	25.180174	23.967237	24.96464
1500011B03Rik	1500011B03Rik	5.193178	6.22818	7.342802	6.803594	7.188671	9.537421	6.837509	7.443231	7.9345	6.613828	7.45848	7.720275	6.242112	7.101016	7.919048	7.032279	7.608708	4.283249
1500011K16Rik	1500011K16Rik	5.532867	5.217549	5.671246	15.732786	9.709841	14.031123	13.781324	16.909347	12.392808	9.726836	16.521684	14.306618	15.174173	14.890843	13.795249	18.839994	15.894964	10.05225
1500012F01Rik	1500012F01Rik	60.531042	84.170881	66.867778	70.508139	48.332356	86.881124	151.14272	138.636857	140.042449	115.880327	101.991363	91.474436	117.694999	142.014308	159.773687	114.999284	83.471923	96.629473
1500012K07Rik	1500012K07Rik	0.071651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	1500015A07Rik	2.900727	2.997578	2.830487	2.577581	3.032344	2.856305	2.138923	2.157071	1.877315	2.880578	2.358595	2.165964	2.452865	2.175902	2.314829	2.359571	2.101992	2.433563
1500015L24Rik	1500015L24Rik	0.195956	0.045815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	1500015O10Rik	0.486511	0.720405	1.150797	0.684495	0.953478	0.499658	1.360852	0.705107	1.105977	0.920492	0.667088	0.259381	1.028843	1.074854	1.533717	0.838371	0.754521	0.515898
1500017E21Rik	1500017E21Rik	0	0.083275	0	0	0	0	0.054089	0	0	0	0	0	0	0	0	0	0	0
1500026H17Rik	1500026H17Rik	0.009288	0.034744	0.029292	0	0.009928	0.008805	0.051958	0.028092	0.037259	0.026359	0	0.022283	0.022096	0.067154	0.039926	0	0.024693	0.015758
1600002D24Rik	1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0.142437	0	0	0	0	0	0.014291	0
1600002H07Rik	1600002H07Rik	9.810829	9.801415	9.251043	8.365769	8.6765	8.692049	7.807961	7.459926	8.068912	7.66538	8.518534	8.731006	8.311216	7.157363	7.142761	6.611834	7.786337	5.865336
1600002K03Rik	1600002K03Rik	7.095454	7.842292	9.629405	9.916057	11.308584	11.129542	13.557936	14.291283	13.197255	9.763493	10.259731	10.523348	10.946851	10.001589	12.422723	10.724285	10.918471	9.959099
1600010M07Rik	1600010M07Rik	0.212018	0.462659	0.074298	0.0628	0.075549	0.133998	0.395366	0.05344	0.113406	0	0.064603	0.056518	0	0.170332	0.182286	0.116914	0	0
1600012H06Rik	1600012H06Rik	6.313957	4.937891	6.104087	3.43899	3.709691	4.188657	3.745873	3.238336	3.34543	3.44879	3.80274	3.790743	4.111008	4.257957	4.017252	3.443793	3.875732	3.271488
1600014C10Rik	1600014C10Rik	2.480713	2.832664	2.942222	1.939694	2.785185	2.052796	2.268013	2.195608	2.607966	2.092651	1.834359	2.175213	2.142233	1.775856	1.734175	2.002799	2.194812	1.734388
1600014C23Rik	1600014C23Rik	0.482578	0	0.202932	0.085763	0	0.091499	0.077134	0	0.154876	0	0	0	0.306158	0.387696	0.331924	0	0	0.081876
1600014K23Rik	1600014K23Rik	1.008342	0.861016	0.737434	0.428527	0.234329	0.415622	0.280298	0.265208	0.140701	0.207371	0.080151	0.175302	0.139068	0.176106	0.037693	0.181315	0.233116	0.260339
1600015I10Rik	1600015I10Rik	0.011578	0.032485	0.012172	0.010289	0	0.03293	0.018507	0.008755	0.00929	0.054767	0.042336	0.009259	0	0.009302	0.029864	0.009577	0	0.009822
1600019K03Rik	1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	1600020E01Rik	3.60709	6.047613	3.323576	6.728276	6.845669	8.789507	11.792278	10.557903	11.513968	6.991255	9.422595	8.166969	11.440342	13.259033	14.648117	11.24585	9.749848	8.933739
1600023N17Rik	1600023N17Rik	0	0	0.251122	0.030323	0.145915	0.064701	0.190902	0.025804	0.273791	0.064564	0.18716	0	0.054123	0.137075	0.029339	0.141129	0.090725	0.057897
1600025M17Rik	1600025M17Rik	0	0.081449	0.274676	0	0	0	0	0	0	0	0	0	0.069066	0	0	0	0	0.073882
1600027J07Rik	1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0.03369	0.033408	0	0	0	0.074668	0
1600029O15Rik	1600029O15Rik	0.016592	0	0	0.04423	0.053209	0.015729	0	0.037638	0.053248	0.015696	0.030333	0	0.065788	0.013329	0.014265	0	0.014704	0.014075
1700001C02Rik	1700001C02Rik	0	0	0	0.149251	0.05985	0.053077	0.044745	0	0	0.052965	0.051179	0.044774	0	0	0	0.04631	0	0.142486
1700001C19Rik	1700001C19Rik	1.203953	0.954226	1.020054	0.26804	0.221643	0.246258	0.256117	0.299371	0.362925	0.107011	0.172336	0.165846	0.125532	0.07573	0.162032	0.124725	0.150366	0.19192
1700001D01Rik	1700001D01Rik	0	0.076795	0	0	0	0	0	0	0	0	0.150124	0	0	0	0	0	0.072772	0
1700001F09Rik	1700001F09Rik	0	0	0	0	0.087365	0	0	0	0.065571	0	0	0	0.032405	0	0.105398	0	0	0
1700001G01Rik	1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015839	0	0	0	0
1700001G11Rik	1700001G11Rik	0.398708	0.093219	0.157184	0.221432	0.319663	0.094496	0.159322	0.263802	0.119961	0.282887	0.091116	0.278997	0.11857	0.680672	0.385646	0.247344	0.309174	0.042279
1700001G17Rik	1700001G17Rik	0.161916	0.340711	0.085111	0	0.086544	0	0.291155	0.336697	0	0.114881	0.111007	0.129487	0.096303	0.227642	0.104408	0	0.143493	0.068679
1700001J03Rik	1700001J03Rik	0	0	0.154505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	1700001J11Rik	0.023324	0	0.02452	0.009312	0	0.043899	0	0.017637	0.066529	0.033097	0.01066	0.009326	0.027745	0.027531	0.010027	0.019292	0.010369	0
1700001K19Rik	1700001K19Rik	0.110225	0.24053	0.270384	0.326486	0	0.104496	0.176182	0.055566	0.176875	0.034758	0	0.029383	0.058274	0.147589	0.063179	0.121564	0	0.062338
1700001K23Rik	1700001K23Rik	0	0	0	0.096574	0	0	0	0	0	0	0	0	0.172374	0.174626	0	0	0	0
1700001L05Rik	1700001L05Rik	3.533947	2.842473	2.637517	7.163466	7.632466	7.881208	4.735908	4.688327	5.100853	5.929226	7.476003	7.104944	7.373539	6.494585	6.397596	4.983415	6.435036	2.891132
1700001L19Rik	1700001L19Rik	0.116215	0.155266	0.017454	0.206537	0.248467	0.220349	0.305171	0.251079	0.186487	0.361235	0.318701	0.252263	0.276485	0.466828	0.399672	0.192255	0.205984	0.338016
1700001O22Rik	1700001O22Rik	0.760769	0.477376	0.571279	0.309037	0.572854	0.606893	0.712228	0.638401	0.843607	0.480728	0.670274	0.56051	0.420367	0.436565	0.388148	0.5029	0.506352	0.350348
1700001P01Rik	1700001P01Rik	0.553287	0.582123	0.072708	1.843686	2.883379	1.96698	1.658181	1.778096	1.220784	2.486232	3.287478	2.986691	1.535699	1.111257	0.951396	1.887813	2.267791	1.994804
1700003C15Rik	1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	1700003D09Rik	0	0.063715	0	0	0	0	0.018149	0	0	0	0	0.036322	0	0	0	0.037568	0	0
1700003E16Rik	1700003E16Rik	0.747244	0.739153	0.543858	0.395846	0.276509	0.177101	0.712035	0.814961	1.383555	0.19032	0.197038	0.321776	0.262105	0.207805	0.321228	0.106976	0.280171	0.097524
1700003E24Rik	1700003E24Rik	0	0.093761	0	0	0	0.190091	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	1700003F12Rik	0.321319	0.150251	0.3378	0	0	0.05077	0.171197	0.202475	0.128903	0.050662	0	0.085655	0.169876	0.086048	0.184173	0.13289	0.04746	0
1700003G13Rik	1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048877	0	0	0
1700003G18Rik	1700003G18Rik	0	0	0	0	0	0	0	0.105725	0	0	0	0	0.055439	0	0	0.173475	0	0
1700003H04Rik	1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	1700003M02Rik	0.052932	0.082505	0.129843	0.329248	0.414952	0.334539	0.394826	0.160101	0.268972	0.383905	0.209672	0.268094	0.153914	0.08505	0.151698	0.160537	0.140728	0.164646
1700003M07Rik	1700003M07Rik	1.803701	1.260739	1.601953	0.686452	1.021741	0.886716	1.047564	1.01621	1.066056	0.996256	0.552732	0.651109	0.272395	0.306205	0.34668	0.243631	0.344111	0.228043
1700003P14Rik	1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0.013644	0.023873	0	0	0	0	0	0
1700006E09Rik	1700006E09Rik	0	0	0	0	0	0	0	0.043659	0	0	0	0	0.091574	0	0.099281	0	0.051168	0
1700006F04Rik	1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	1700006H21Rik	0.208598	0.195084	0	0	0	0	0	0.105156	0.167366	0.131558	0	0	0	0	0	0	0	0
1700007B14Rik	1700007B14Rik	0	0	0.015166	0	0.015422	0.013676	0.023059	0.043634	0.034724	0	0.026374	0	0.01144	0	0.024806	0.023865	0	0.012238
1700007F19Rik	1700007F19Rik	0	0	0	0	0	0	0	0	0.014909	0	0	0	0	0	0	0	0	0
1700007G11Rik	1700007G11Rik	1.058353	1.029381	1.023628	0.037618	0.135765	0.321069	0.439829	0.480173	0.271729	0.200243	0	0.033855	0	0.068021	0.072795	0	0	0.071826
1700007J10Rik	1700007J10Rik	0.240781	0.084287	0.063169	0.080096	0.064244	0	0.096039	0.068151	0.096415	0.02842	0.082433	0.072134	0	0.024138	0.180804	0.049703	0.106495	0.025485
1700007K09Rik	1700007K09Rik	0.364312	0.056785	0	0	0	0	0.097052	0.045913	0.2923	0	0	0	0.144455	0	0	0.100447	0	0.154527
1700007K13Rik	1700007K13Rik	9.618101	11.17826	9.276999	13.110359	17.169492	14.208412	11.156902	9.85014	9.290299	17.270169	13.059988	11.948361	10.071147	8.627285	9.594035	10.311413	10.716743	14.773796
1700007L15Rik	1700007L15Rik	2.446095	3.163741	3.118702	3.745984	4.784657	4.045831	5.157598	6.76893	4.468021	5.465076	6.089543	4.869648	5.860731	4.933802	5.951253	5.467188	4.289428	4.238458
1700007P06Rik	1700007P06Rik	0	0.042217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04Rik	1700008C04Rik	0	0	0	0	0	0	0.037654	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	1700008J07Rik	1.202432	0.998164	0.978193	0.957584	1.12494	1.02625	0.859103	0.714707	1.192551	1.440259	1.023694	0.998384	0.83303	0.667404	0.949172	0.518599	0.988775	0.535747
1700008K24Rik	1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	1700008O03Rik	1.48701	1.939628	1.851256	1.703852	1.464116	1.372621	1.344774	1.154014	1.632637	1.925003	1.21621	1.533426	1.551631	1.163205	1.749504	0.906303	1.283137	0.863108
1700008P02Rik	1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	1700009C05Rik	0	0	0	0.042802	0	0.136993	0	0	0	0	0	0	0.114595	0	0	0	0	0
1700009J07Rik	1700009J07Rik	0	0	0.040953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	1700009N14Rik	0.204476	0.310747	0.02687	0.022712	0.027323	0	0	0.019327	0	0	0	0	0.020269	0	0.021975	0	0	0
1700010B08Rik	1700010B08Rik	0	0.037447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010D01Rik	1700010D01Rik	0.102238	0.191229	0.107482	0	0	0	0.081707	0.309234	0.164058	0	0	0	0	0	0	0	0	0
1700010I02Rik	1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.110283	0	0	0	0	0
1700010I14Rik	1700010I14Rik	0.285989	0.326898	0.217142	0.282366	0.288738	0.256062	0.330142	0.264312	0.28045	0.300611	0.27595	0.304947	0.176398	0.165938	0.191244	0.06571	0.084483	0.107827
1700010J16Rik	1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	1700011A15Rik	0.158445	0	0.041643	0.035198	0.042344	0.037552	0.031657	0	0.063563	0.037473	0	0	0.062826	0.063646	0	0.098293	0	0
1700011B04Rik	1700011B04Rik	0	0	0	0	0	0.123225	0	0	0	0	0.059408	0	0	0	0	0	0.230383	0
1700011C11Rik	1700011C11Rik	0	0	0	0	0.734092	0	0	0	0.183657	0	0	0.183058	0	0.183898	0.196804	0	0.202858	0.388368
1700011E24Rik	1700011E24Rik	0.129981	0	0.045549	0.115501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011H14Rik	1700011H14Rik	0	0	0	0.025065	0.030154	0.026741	0	0	0	0.026685	0	0	0.067108	0	0.024252	0	0	0
1700011I03Rik	1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	1700011L22Rik	0	0.132915	0.037353	0	0	0.033684	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	1700011M02Rik	0.152154	0	0	0	0	0	0	0	0	0	0	0	0.120714	0	0	0	0.134842	0
1700012A03Rik	1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	1700012B07Rik	0	0.105329	0.157869	0.066719	0.080264	0.03559	0.030003	0	0.060242	0.035515	0.034317	0.036132	0	0.03016	0	0.049739	0.03327	0
